":START_ID",":END_ID",":TYPE"
"jjaf231.271","ecco-2026","PRESENTED_AT"
"jjaf231.272","ecco-2026","PRESENTED_AT"
"jjaf231.273","ecco-2026","PRESENTED_AT"
"jjaf231.274","ecco-2026","PRESENTED_AT"
"jjaf231.275","ecco-2026","PRESENTED_AT"
"jjaf231.276","ecco-2026","PRESENTED_AT"
"jjaf231.277","ecco-2026","PRESENTED_AT"
"jjaf231.278","ecco-2026","PRESENTED_AT"
"jjaf231.279","ecco-2026","PRESENTED_AT"
"jjaf231.280","ecco-2026","PRESENTED_AT"
"jjaf231.281","ecco-2026","PRESENTED_AT"
"jjaf231.282","ecco-2026","PRESENTED_AT"
"jjaf231.283","ecco-2026","PRESENTED_AT"
"jjaf231.284","ecco-2026","PRESENTED_AT"
"jjaf231.285","ecco-2026","PRESENTED_AT"
"jjaf231.286","ecco-2026","PRESENTED_AT"
"jjaf231.287","ecco-2026","PRESENTED_AT"
"jjaf231.288","ecco-2026","PRESENTED_AT"
"jjaf231.289","ecco-2026","PRESENTED_AT"
"jjaf231.290","ecco-2026","PRESENTED_AT"
"jjaf231.291","ecco-2026","PRESENTED_AT"
"jjaf231.292","ecco-2026","PRESENTED_AT"
"jjaf231.293","ecco-2026","PRESENTED_AT"
"jjaf231.294","ecco-2026","PRESENTED_AT"
"jjaf231.295","ecco-2026","PRESENTED_AT"
"jjaf231.296","ecco-2026","PRESENTED_AT"
"jjaf231.297","ecco-2026","PRESENTED_AT"
"jjaf231.298","ecco-2026","PRESENTED_AT"
"jjaf231.299","ecco-2026","PRESENTED_AT"
"jjaf231.300","ecco-2026","PRESENTED_AT"
"jjaf231.301","ecco-2026","PRESENTED_AT"
"jjaf231.302","ecco-2026","PRESENTED_AT"
"jjaf231.303","ecco-2026","PRESENTED_AT"
"jjaf231.304","ecco-2026","PRESENTED_AT"
"jjaf231.305","ecco-2026","PRESENTED_AT"
"jjaf231.306","ecco-2026","PRESENTED_AT"
"jjaf231.307","ecco-2026","PRESENTED_AT"
"jjaf231.308","ecco-2026","PRESENTED_AT"
"jjaf231.309","ecco-2026","PRESENTED_AT"
"jjaf231.310","ecco-2026","PRESENTED_AT"
"jjaf231.311","ecco-2026","PRESENTED_AT"
"jjaf231.312","ecco-2026","PRESENTED_AT"
"jjaf231.313","ecco-2026","PRESENTED_AT"
"jjaf231.314","ecco-2026","PRESENTED_AT"
"jjaf231.315","ecco-2026","PRESENTED_AT"
"jjaf231.316","ecco-2026","PRESENTED_AT"
"jjaf231.317","ecco-2026","PRESENTED_AT"
"jjaf231.318","ecco-2026","PRESENTED_AT"
"jjaf231.319","ecco-2026","PRESENTED_AT"
"jjaf231.320","ecco-2026","PRESENTED_AT"
