":START_ID",":END_ID","weight:int",":TYPE"
"798bc257a628","fe3d957bddc9","1","CO_AUTHORED_WITH"
"5b72569f977d","fe3d957bddc9","2","CO_AUTHORED_WITH"
"c19193fb2ccd","fe3d957bddc9","1","CO_AUTHORED_WITH"
"cd05a8bbf868","fe3d957bddc9","1","CO_AUTHORED_WITH"
"bca51f0e12d7","fe3d957bddc9","2","CO_AUTHORED_WITH"
"fe3d957bddc9","5186cef65cbe","1","CO_AUTHORED_WITH"
"798bc257a628","5b72569f977d","1","CO_AUTHORED_WITH"
"798bc257a628","c19193fb2ccd","1","CO_AUTHORED_WITH"
"cd05a8bbf868","798bc257a628","1","CO_AUTHORED_WITH"
"798bc257a628","bca51f0e12d7","1","CO_AUTHORED_WITH"
"798bc257a628","5186cef65cbe","1","CO_AUTHORED_WITH"
"c19193fb2ccd","5b72569f977d","1","CO_AUTHORED_WITH"
"cd05a8bbf868","5b72569f977d","1","CO_AUTHORED_WITH"
"bca51f0e12d7","5b72569f977d","2","CO_AUTHORED_WITH"
"5b72569f977d","5186cef65cbe","1","CO_AUTHORED_WITH"
"cd05a8bbf868","c19193fb2ccd","1","CO_AUTHORED_WITH"
"c19193fb2ccd","bca51f0e12d7","2","CO_AUTHORED_WITH"
"c19193fb2ccd","5186cef65cbe","1","CO_AUTHORED_WITH"
"cd05a8bbf868","bca51f0e12d7","1","CO_AUTHORED_WITH"
"cd05a8bbf868","5186cef65cbe","1","CO_AUTHORED_WITH"
"bca51f0e12d7","5186cef65cbe","1","CO_AUTHORED_WITH"
"b974c728b8e9","0e66c219764b","2","CO_AUTHORED_WITH"
"eb39226140bc","0e66c219764b","2","CO_AUTHORED_WITH"
"3819487027ff","0e66c219764b","1","CO_AUTHORED_WITH"
"e5da8724a129","0e66c219764b","1","CO_AUTHORED_WITH"
"9b773f12f1ae","0e66c219764b","2","CO_AUTHORED_WITH"
"f67a5fe65a24","0e66c219764b","2","CO_AUTHORED_WITH"
"b974c728b8e9","eb39226140bc","2","CO_AUTHORED_WITH"
"3819487027ff","b974c728b8e9","1","CO_AUTHORED_WITH"
"b974c728b8e9","e5da8724a129","1","CO_AUTHORED_WITH"
"b974c728b8e9","9b773f12f1ae","2","CO_AUTHORED_WITH"
"b974c728b8e9","f67a5fe65a24","2","CO_AUTHORED_WITH"
"3819487027ff","eb39226140bc","1","CO_AUTHORED_WITH"
"e5da8724a129","eb39226140bc","1","CO_AUTHORED_WITH"
"eb39226140bc","9b773f12f1ae","2","CO_AUTHORED_WITH"
"eb39226140bc","f67a5fe65a24","2","CO_AUTHORED_WITH"
"3819487027ff","e5da8724a129","1","CO_AUTHORED_WITH"
"3819487027ff","9b773f12f1ae","2","CO_AUTHORED_WITH"
"3819487027ff","f67a5fe65a24","1","CO_AUTHORED_WITH"
"e5da8724a129","9b773f12f1ae","1","CO_AUTHORED_WITH"
"e5da8724a129","f67a5fe65a24","1","CO_AUTHORED_WITH"
"9b773f12f1ae","f67a5fe65a24","2","CO_AUTHORED_WITH"
"de2f0be255c1","e8707c6ab342","3","CO_AUTHORED_WITH"
"de2f0be255c1","5e8d98990beb","1","CO_AUTHORED_WITH"
"de2f0be255c1","5c556aec5ce3","1","CO_AUTHORED_WITH"
"eb770a4fdf2a","de2f0be255c1","2","CO_AUTHORED_WITH"
"de2f0be255c1","0ff3e8b7aaef","1","CO_AUTHORED_WITH"
"e8707c6ab342","5e8d98990beb","1","CO_AUTHORED_WITH"
"e8707c6ab342","5c556aec5ce3","1","CO_AUTHORED_WITH"
"eb770a4fdf2a","e8707c6ab342","2","CO_AUTHORED_WITH"
"0ff3e8b7aaef","e8707c6ab342","3","CO_AUTHORED_WITH"
"5c556aec5ce3","5e8d98990beb","1","CO_AUTHORED_WITH"
"eb770a4fdf2a","5e8d98990beb","1","CO_AUTHORED_WITH"
"0ff3e8b7aaef","5e8d98990beb","1","CO_AUTHORED_WITH"
"eb770a4fdf2a","5c556aec5ce3","1","CO_AUTHORED_WITH"
"0ff3e8b7aaef","5c556aec5ce3","1","CO_AUTHORED_WITH"
"eb770a4fdf2a","0ff3e8b7aaef","2","CO_AUTHORED_WITH"
"0dd50f2c1e1c","70317a1b9141","5","CO_AUTHORED_WITH"
"2d311abc8e67","70317a1b9141","5","CO_AUTHORED_WITH"
"68135daf243a","70317a1b9141","3","CO_AUTHORED_WITH"
"df67f80a1599","70317a1b9141","3","CO_AUTHORED_WITH"
"0aa02b820a84","70317a1b9141","2","CO_AUTHORED_WITH"
"3dda766130e7","70317a1b9141","1","CO_AUTHORED_WITH"
"2c53c2eeeb22","70317a1b9141","1","CO_AUTHORED_WITH"
"c5c95b3c6372","70317a1b9141","1","CO_AUTHORED_WITH"
"3eee50fd7427","70317a1b9141","2","CO_AUTHORED_WITH"
"2d311abc8e67","0dd50f2c1e1c","5","CO_AUTHORED_WITH"
"68135daf243a","0dd50f2c1e1c","2","CO_AUTHORED_WITH"
"0dd50f2c1e1c","0aa02b820a84","2","CO_AUTHORED_WITH"
"3dda766130e7","0dd50f2c1e1c","1","CO_AUTHORED_WITH"
"0dd50f2c1e1c","2c53c2eeeb22","1","CO_AUTHORED_WITH"
"c5c95b3c6372","0dd50f2c1e1c","1","CO_AUTHORED_WITH"
"0dd50f2c1e1c","3eee50fd7427","2","CO_AUTHORED_WITH"
"2d311abc8e67","68135daf243a","2","CO_AUTHORED_WITH"
"2d311abc8e67","df67f80a1599","3","CO_AUTHORED_WITH"
"2d311abc8e67","0aa02b820a84","2","CO_AUTHORED_WITH"
"3dda766130e7","2d311abc8e67","1","CO_AUTHORED_WITH"
"2d311abc8e67","2c53c2eeeb22","1","CO_AUTHORED_WITH"
"c5c95b3c6372","2d311abc8e67","1","CO_AUTHORED_WITH"
"2d311abc8e67","3eee50fd7427","2","CO_AUTHORED_WITH"
"68135daf243a","df67f80a1599","1","CO_AUTHORED_WITH"
"68135daf243a","0aa02b820a84","1","CO_AUTHORED_WITH"
"3dda766130e7","68135daf243a","1","CO_AUTHORED_WITH"
"68135daf243a","2c53c2eeeb22","1","CO_AUTHORED_WITH"
"c5c95b3c6372","68135daf243a","1","CO_AUTHORED_WITH"
"68135daf243a","3eee50fd7427","1","CO_AUTHORED_WITH"
"df67f80a1599","0aa02b820a84","2","CO_AUTHORED_WITH"
"3dda766130e7","df67f80a1599","1","CO_AUTHORED_WITH"
"df67f80a1599","2c53c2eeeb22","1","CO_AUTHORED_WITH"
"c5c95b3c6372","df67f80a1599","1","CO_AUTHORED_WITH"
"df67f80a1599","3eee50fd7427","2","CO_AUTHORED_WITH"
"3dda766130e7","0aa02b820a84","1","CO_AUTHORED_WITH"
"2c53c2eeeb22","0aa02b820a84","1","CO_AUTHORED_WITH"
"c5c95b3c6372","0aa02b820a84","1","CO_AUTHORED_WITH"
"3eee50fd7427","0aa02b820a84","1","CO_AUTHORED_WITH"
"3dda766130e7","2c53c2eeeb22","1","CO_AUTHORED_WITH"
"c5c95b3c6372","3dda766130e7","1","CO_AUTHORED_WITH"
"3dda766130e7","3eee50fd7427","1","CO_AUTHORED_WITH"
"c5c95b3c6372","2c53c2eeeb22","1","CO_AUTHORED_WITH"
"3eee50fd7427","2c53c2eeeb22","1","CO_AUTHORED_WITH"
"c5c95b3c6372","3eee50fd7427","1","CO_AUTHORED_WITH"
"ef6c393b29bc","70243d45b747","1","CO_AUTHORED_WITH"
"1c3eb56b6fef","ef6c393b29bc","1","CO_AUTHORED_WITH"
"d5998814f109","ef6c393b29bc","3","CO_AUTHORED_WITH"
"ef6c393b29bc","6ab38635ac45","1","CO_AUTHORED_WITH"
"ef6c393b29bc","13656fe8bc51","1","CO_AUTHORED_WITH"
"ef6c393b29bc","7d7f39cdf1bf","1","CO_AUTHORED_WITH"
"6d42d98dd279","ef6c393b29bc","1","CO_AUTHORED_WITH"
"05aeb06441ab","ef6c393b29bc","1","CO_AUTHORED_WITH"
"ef6c393b29bc","a90a2e458e66","1","CO_AUTHORED_WITH"
"1c3eb56b6fef","70243d45b747","1","CO_AUTHORED_WITH"
"d5998814f109","70243d45b747","1","CO_AUTHORED_WITH"
"70243d45b747","6ab38635ac45","1","CO_AUTHORED_WITH"
"13656fe8bc51","70243d45b747","1","CO_AUTHORED_WITH"
